Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"06 Jul 2025"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;118.00;118.00;115.80;116.20;"04/07/2025 16:28";CET;79977;9324388.30;116.20;04/07/2025
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;0.89;0.89;0.86;0.86;"04/07/2025 15:36";CET;32900;28330.708;0.86;04/07/2025
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;125.00;125.00;125.00;125.00;"03/07/2025 15:42";CET;3;375.00;125.00;04/07/2025
"ABG SUNDAL COLLIER";NO0003021909;ABG;"Oslo Børs";NOK;7.00;7.07;6.93;6.93;"04/07/2025 16:25";CET;1015047;7074456.54;6.93;04/07/2025
"ABL GROUP";NO0010715394;ABL;"Oslo Børs";NOK;9.30;9.30;9.18;9.24;"04/07/2025 16:25";CET;20361;187899.48;9.24;04/07/2025
"ADS MARITIME HOLD";CY0108052115;ADS;"Euronext Growth Oslo";NOK;2.06;2.06;2.06;2.06;"04/07/2025 15:10";CET;1880;3872.80;2.06;04/07/2025
"AF GRUPPEN";NO0003078107;AFG;"Oslo Børs";NOK;154.60;155.00;153.80;154.20;"04/07/2025 16:25";CET;13492;2082186.80;154.20;04/07/2025
AGILYX;NO0010872468;AGLX;"Oslo Børs";NOK;25.30;25.30;24.90;25.10;"04/07/2025 16:25";CET;4652;117048.60;25.10;04/07/2025
AIRTHINGS;NO0010895568;AIRX;"Oslo Børs";NOK;1.63;1.63;1.60;1.60;"04/07/2025 16:25";CET;29300;47456.04;1.60;04/07/2025
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;12.08;12.18;12.06;12.16;"04/07/2025 16:25";CET;88468;1069965.96;12.16;04/07/2025
AKER;NO0010234552;AKER;"Oslo Børs";NOK;670.00;670.00;660.00;667.00;"04/07/2025 16:25";CET;18437;12263985.00;667.00;04/07/2025
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;63.60;63.60;62.40;63.60;"04/07/2025 16:25";CET;2929;184626.30;63.60;04/07/2025
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;261.20;263.90;260.20;263.20;"04/07/2025 16:26";CET;843448;221236812.50;263.20;04/07/2025
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;0.322;0.3326;0.318;0.3296;"04/07/2025 16:25";CET;7190803;2347731.9734;0.3296;04/07/2025
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;1.522;1.522;1.486;1.504;"04/07/2025 16:25";CET;809393;1214069.274;1.504;04/07/2025
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;35.30;36.34;35.28;36.12;"04/07/2025 16:25";CET;367820;13259370.64;36.12;04/07/2025
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;1.15;1.15;1.00;1.06;"04/07/2025 16:25";CET;207050;213699.65;1.06;04/07/2025
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;83.00;84.80;83.00;84.80;"04/07/2025 16:25";CET;10532;886507.20;84.80;04/07/2025
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;0.1805;0.197;0.1805;0.197;"04/07/2025 16:18";CET;18247;3425.5835;0.197;04/07/2025
AMSC;NO0010272065;AMSC;"Oslo Børs";NOK;1.47;1.472;1.466;1.472;"04/07/2025 16:25";CET;802771;1177429.722;1.472;04/07/2025
"ANDFJORD SALMON GR";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;32.00;32.30;31.50;31.60;"04/07/2025 16:25";CET;23711;754582.00;31.60;04/07/2025
"AQUA BIO TECHNO";NO0010307135;ABTEC;"Euronext Expand Oslo";NOK;1.002;1.084;1.002;1.03;"04/07/2025 16:12";CET;212979;220978.072;1.03;04/07/2025
ARCHER;BMG0451H2087;ARCH;"Oslo Børs";NOK;24.35;24.35;23.85;23.85;"04/07/2025 16:25";CET;18065;434914.60;23.85;04/07/2025
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;3.65;3.79;3.65;3.75;"04/07/2025 15:15";CET;33498;123239.78;3.75;04/07/2025
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;44.40;44.40;44.40;44.40;"03/07/2025 15:12";CET;200;8880.00;44.40;04/07/2025
"ARCTICZYMES TECHNO";NO0010014632;AZT;"Oslo Børs";NOK;17.15;17.30;17.00;17.00;"04/07/2025 16:25";CET;10343;177416.25;17.00;04/07/2025
"ARENDALS FOSSEKOMP";NO0003572802;AFK;"Oslo Børs";NOK;132.50;133.50;132.00;133.50;"04/07/2025 16:25";CET;932;124080.00;133.50;04/07/2025
ARGEO;NO0013257410;ARGEO;"Oslo Børs";NOK;3.12;3.755;3.04;3.56;"04/07/2025 12:10";CET;6951475;23371013.885;3.56;04/07/2025
"ARRIBATEC GROUP";NO0012861667;ARR;"Oslo Børs";NOK;0.56;0.56;0.532;0.546;"04/07/2025 16:25";CET;574051;307911.822;0.546;04/07/2025
ATEA;NO0004822503;ATEA;"Oslo Børs";NOK;152.00;153.20;151.00;152.60;"04/07/2025 16:25";CET;26853;4094015.60;152.60;04/07/2025
"ATLANTIC SAPPHI TR";NO0013340802;ASAS;"Oslo Børs";NOK;0.60;0.90;0.60;0.90;"01/07/2025 16:11";CET;5002;4001.50;0.90;04/07/2025
"ATLANTIC SAPPHIRE";NO0013464750;ASA;"Oslo Børs";NOK;9.00;9.00;8.661;9.00;"04/07/2025 16:25";CET;158380;1398854.315;9.00;04/07/2025
"AURORA EIENDOM";NO0011032310;AURA;"Euronext Growth Oslo";NOK;85.00;86.00;85.00;86.00;"04/07/2025 14:37";CET;2178;186162.00;86.00;04/07/2025
"AURSKOG SPAREBANK";NO0006001601;AURG;"Oslo Børs";NOK;235.00;235.00;235.00;235.00;"04/07/2025 12:36";CET;1;235.00;235.00;04/07/2025
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;98.80;98.80;97.50;97.70;"04/07/2025 16:25";CET;51790;5073166.30;97.70;04/07/2025
"AUTOSTORE HOLDINGS";BMG0670A1099;AUTO;"Oslo Børs";NOK;6.715;6.815;6.59;6.615;"04/07/2025 16:25";CET;3257353;21680007.935;6.615;04/07/2025
"AVANCE GAS HOLDING";BMG067231032;AGAS;"Oslo Børs";NOK;1.07;1.07;0.95;0.95;"04/07/2025 16:25";CET;335159;329292.201;0.95;04/07/2025
"AWILCO LNG";NO0010607971;ALNG;"Euronext Expand Oslo";NOK;3.10;3.13;3.00;3.13;"04/07/2025 16:25";CET;65038;200227.77;3.13;04/07/2025
AXACTOR;NO0010840515;ACR;"Oslo Børs";NOK;7.84;7.86;7.72;7.80;"04/07/2025 16:25";CET;485516;3784779.38;7.80;04/07/2025
"AYFIE INTERNATIONA";NO0012861683;AIX;"Euronext Growth Oslo";NOK;4.34;7.36;4.34;7.36;"04/07/2025 16:27";CET;2607426;16067118.61;7.36;04/07/2025
"B2 Impact";NO0010633951;B2I;"Oslo Børs";NOK;14.36;14.52;14.20;14.48;"04/07/2025 16:25";CET;297478;4274795.64;14.48;04/07/2025
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;464.20;466.00;462.40;465.00;"04/07/2025 16:25";CET;57127;26555445.00;465.00;04/07/2025
"BALTIC SEA PROP";NO0010810476;BALT;"Euronext Growth Oslo";NOK;53.00;53.00;53.00;53.00;"30/06/2025 09:37";CET;53;2809.00;53.00;04/07/2025
"BARRAMUNDI GROUP";SGXZ33675836;BARRA;"Euronext Growth Oslo";NOK;0.95;0.95;0.90;0.948;"04/07/2025 14:53";CET;29200;27122.00;0.948;04/07/2025
"BENCHMARK HOLDINGS";GB00BGHPT808;BMK;"Euronext Growth Oslo";NOK;3.36;3.36;3.36;3.36;"04/07/2025 09:04";CET;13181;44288.16;3.36;04/07/2025
"BERGEN CARBON SOL";NO0010950249;BCS;"Euronext Growth Oslo";NOK;5.00;5.52;5.00;5.40;"04/07/2025 16:25";CET;44648;233428.98;5.40;04/07/2025
BERGENBIO;NO0013251173;BGBIO;"Oslo Børs";NOK;1.324;1.36;1.322;1.33;"04/07/2025 16:25";CET;142297;189622.128;1.33;04/07/2025
BEWI;NO0010890965;BEWI;"Oslo Børs";NOK;22.95;22.95;22.15;22.50;"04/07/2025 16:25";CET;8510;190229.45;22.50;04/07/2025
"BIEN SPAREBANK";NO0012706763;BIEN;"Oslo Børs";NOK;139.00;140.00;138.00;140.00;"04/07/2025 16:25";CET;881;122408.00;140.00;04/07/2025
"BIOFISH HOLDING";NO0010955198;BFISH;"Euronext Growth Oslo";NOK;1.755;1.755;1.725;1.75;"04/07/2025 14:29";CET;490;853.50;1.75;04/07/2025
"BLACK SEA PROPERTY";NO0010755101;BSP;"Euronext Growth Oslo";NOK;0.278;0.278;0.256;0.27;"04/07/2025 16:16";CET;885837;234521.376;0.27;04/07/2025
BLUENORD;NO0010379266;BNOR;"Oslo Børs";NOK;515.00;518.00;507.00;512.00;"04/07/2025 16:25";CET;48144;24605891.00;512.00;04/07/2025
BONHEUR;NO0003110603;BONHR;"Oslo Børs";NOK;231.00;231.00;228.00;229.50;"04/07/2025 16:25";CET;5919;1358435.00;229.50;04/07/2025
BORGESTAD;NO0013256180;BOR;"Oslo Børs";NOK;17.85;17.85;17.50;17.60;"04/07/2025 16:13";CET;5999;105725.50;17.60;04/07/2025
BORREGAARD;NO0010657505;BRG;"Oslo Børs";NOK;201.00;203.00;200.00;203.00;"04/07/2025 16:26";CET;79863;16148933.00;203.00;04/07/2025
BOUVET;NO0010360266;BOUV;"Oslo Børs";NOK;80.50;80.50;79.70;79.70;"04/07/2025 16:25";CET;18628;1486541.10;79.70;04/07/2025
